"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","count.services","count.kernel","count.sessions","apdex_s","apdex_t","apdex_f","apdex_score","db_throughput","db_duration","external_throughput","external_duration","length","error_rate","bg_rate","count.503","count.Other","count.Web","queue_duration"
"1","Diract-Browser",2017-08-31 00:00:00,2017-08-31 00:10:00,320184,0.000295339130865378,4294.9632,32443.963392,57.1776542663574,14.292799282074,0.811625593900681,0,2.93058779789135e-05,1.0552825152874,0,0.108188303560019,3351987.4,0,0,0,0,0,265952,52909,1323,0.910000026226044,0,0,154,0.0314259858933333,0,0,100,0,320184,0,0
"2","Diract-Browser",2017-08-31 00:10:00,2017-08-31 00:20:00,320032,0.00029765684210329,4294.9632,32427.313152,57.1760673522949,14.4089681625366,0.832647228240967,0,5.44272959814407e-05,1.13152499198914,0,0.110639369487762,3296624.86,0,0,0,0,0,265839,52909,1284,0.910000026226044,0,0,160,0.0377169364520548,0,0,100,0,320032,0,0
"3","Diract-Browser",2017-08-31 00:20:00,2017-08-31 00:30:00,320071,0.000296234131380225,4294.9632,32421.885952,57.1742935180664,14.5501747131348,0.831640416383743,0,3.35014770826092e-05,1.06071665883064,0,0.109818203747272,3495931.305,0,0,0,0,0,265845,52860,1366,0.910000026226044,0,0,166,0.0368754105063291,0,0,100,0,320071,0,0
"4","Diract-Browser",2017-08-31 00:30:00,2017-08-31 00:40:00,320011,0.000295297610566512,4294.9632,32404.553728,57.1723823547363,14.6480988502502,0.821687853336334,0,3.76893218344776e-05,1.1821750164032,2.50000011874363e-05,0.107982461154461,3457932.045,0,0,0,0,0,265644,53034,1333,0.910000026226044,0,0,152,0.0358854035671642,0,0,100,0,320011,0,0
"5","Diract-Browser",2017-08-31 00:40:00,2017-08-31 00:50:00,320120,0.000295122490194302,4294.9632,32381.792256,57.170467376709,14.7269840240479,0.836628007888794,0,3.76867734303232e-05,1.06297500729561,0,0.109292726963758,3534295.615,0,0,0,0,0,265757,53036,1327,0.910000026226044,0,0,152,0.0373117596901408,0,0,100,0,320120,0,0
"6","Diract-Browser",2017-08-31 00:50:00,2017-08-31 01:00:00,319827,0.000296241479928211,4294.9632,32374.902784,57.1683197021484,14.810186290741,0.832921409606934,0,4.18670082581229e-05,1.19613106250763,0,0.109514892846346,3605145.465,0,0,0,0,0,265105,53374,1348,0.910000026226044,0,0,160,0.0323389509066667,0,0,100,0,319827,0,0
"7","Diract-Browser",2017-08-31 01:00:00,2017-08-31 01:10:00,320146,0.000300104650559432,4294.9632,32359.68,57.1664619445801,15.1231612205505,0.844945049285889,0,3.81463618396083e-05,1.28110927939415,0,0.110551907867193,3612663.265,0,0,0,0,0,265717,53047,1382,0.910000026226044,0,0,188,0.0358228621685393,0,0,100,0,320146,0,0
"8","Diract-Browser",2017-08-31 01:10:00,2017-08-31 01:20:00,319923,0.000300598105966123,4294.9632,32378.718208,57.1645469665527,14.7387969970703,0.83838968873024,0,3.34981112246169e-05,0.847513633966446,0,0.110425736755133,3469211.54,0,0,0,0,0,264443,54118,1362,0.910000026226044,0,0,162,0.0355847091506849,0,0,100,0,319923,0,0
"9","Diract-Browser",2017-08-31 01:20:00,2017-08-31 01:30:00,320017,0.000300013446660646,4294.9632,32430.485504,57.162670135498,14.7376677513123,0.836577612161636,0,4.60638861113694e-05,1.0096247792244,0,0.108826348185539,3501803.045,0,0,0,0,0,264622,53965,1430,0.910000026226044,0,0,148,0.0388170407714286,0,0,100,0,320017,0,0
"10","Diract-Browser",2017-08-31 01:30:00,2017-08-31 01:40:00,320134,0.000295824138420162,4294.9632,32422.684672,57.1608963012695,15.042840385437,0.855477058887482,0,3.35080199874938e-05,1.16041893959045,0,0.109462120383978,3620088.135,0,0,0,0,0,265342,53359,1433,0.910000026226044,0,0,142,0.0320251218285714,0,0,100,0,320134,0,0
"11","Diract-Browser",2017-08-31 01:40:00,2017-08-31 01:50:00,320111,0.000303398494547204,4294.9632,32407.656448,57.1591720581055,14.9705063819885,0.841849386692047,0,3.3507372791064e-05,1.03411025106907,0,0.108048590272665,3609870.855,0,0,0,0,0,265643,53078,1390,0.910000026226044,0,0,176,0.0695745115696203,0,0,100,0,320111,0,0
"12","Diract-Browser",2017-08-31 01:50:00,2017-08-31 02:00:00,319741,0.000296786441282163,4294.9632,32406.052864,57.1573905944824,15.1476634025574,0.854989212751389,0,4.60594812466297e-05,1.05710000991821,0,0.108184978365898,3541503.01,0,0,0,0,0,265823,52584,1334,0.910000026226044,0,0,174,0.0418611142,0,0,100,0,319741,0,0
"13","Diract-Browser",2017-08-31 02:00:00,2017-08-31 02:10:00,320371,0.000292303369390488,4294.9632,32398.129152,57.1555252075195,15.4939873695374,0.867705416679382,0,4.18743904447183e-05,1.0897000014782,0,0.1096514955163,3587017.49,0,0,0,0,0,266635,52408,1328,0.910000026226044,0,0,174,0.0302936727341772,0,0,100,0,320371,0,0
"14","Diract-Browser",2017-08-31 02:10:00,2017-08-31 02:20:00,319830,0.00029567689616984,4294.9632,32377.868288,57.1537437438965,15.3869312286377,0.855212754011154,0,3.76922442228533e-05,1.30094166994095,0,0.109175689518452,3476135.56,0,0,0,0,0,266599,51955,1276,0.910000026226044,0,0,162,0.0514253562465753,0,0,100,0,319830,0,0
"15","Diract-Browser",2017-08-31 02:20:00,2017-08-31 02:30:00,320143,0.000289028243281908,4294.9632,32369.793024,57.1518020629883,15.5491147041321,0.891582280397415,0,4.18729257944506e-05,1.21274167895317,0,0.110459379851818,3598451.43,0,0,0,0,0,267020,51827,1296,0.920000016689301,0,0,146,0.0341696285970149,0,0,100,0,320143,0,0
"16","Diract-Browser",2017-08-31 02:30:00,2017-08-31 02:40:00,320052,0.000288709504921075,4294.9632,32358.500352,57.1500015258789,15.9790984153748,0.885040259361267,0,3.35221371642547e-05,1.38677501678467,0,0.107756459712982,3573495.375,0,0,0,0,0,267377,51386,1289,0.920000016689301,0,0,146,0.0335364502028985,0,0,100,0,320052,0,0
"17","Diract-Browser",2017-08-31 02:40:00,2017-08-31 02:50:00,320102,0.000295019276086997,4294.9632,32338.456576,57.1482009887695,16.1067370414734,0.933636665344238,0,4.60628263681429e-05,1.4323416531086,0,0.108242588490248,3774559.555,0,0,0,0,0,267252,51441,1409,0.920000016689301,0,0,154,0.0390624683055556,0,0,100,0,320102,0,0
