"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","count.services","count.kernel","count.sessions","apdex_s","apdex_t","apdex_f","apdex_score","db_throughput","db_duration","external_throughput","external_duration","length","error_rate","bg_rate","count.200","count.503","count.Other","count.Web","queue_duration"
"1","Browser-Monitoring-Service-Production",2017-08-31 00:00:00,2017-08-31 00:10:00,109451898,0.00173284053404145,4294.9632,32443.963392,56.9181900024414,13.6186655589512,0.778292004551206,0,3.58748477862848e-05,1.0254220366478,0,0.108214659350259,3199737.99821429,0,0,0,0,0,91916230,13476002,4059666,0.899999976158142,21258,0.00426911982158098,3213890,0.0119230072537174,0,0.00220827600449651,99.9999616269788,42,0,109451856,42,0
"2","Browser-Monitoring-Service-Production",2017-08-31 00:10:00,2017-08-31 00:20:00,109858356,0.00170725778745276,4294.9632,32427.313152,56.9166831970215,13.7288032940456,0.794951911483492,0,5.38229136769327e-05,1.09556546381542,0,0.110834629940135,3186250.99285714,0,0,0,0,0,92338251,13440000,4080105,0.899999976158142,23236,0.00748030614654718,3260867,0.0119796149636163,0,0.00276355855898663,100,0,0,109858356,0,0
"3","Browser-Monitoring-Service-Production",2017-08-31 00:20:00,2017-08-31 00:30:00,110932870,0.00182813490834288,4294.9632,32421.885952,56.9145050048828,13.8567269189017,0.796080989497049,0,4.16390110850833e-05,1.02996474078723,0,0.110150541045836,3335825.20178571,0,0,0,0,0,93401437,13494600,4036833,0.899999976158142,25164,0.00845949525023647,3236128,0.015566881964182,0,0.00314875113210359,99.9999405045592,66,0,110932804,66,0
"4","Browser-Monitoring-Service-Production",2017-08-31 00:30:00,2017-08-31 00:40:00,111239326,0.00175365909585167,4294.9632,32404.553728,56.911735534668,13.9404711042132,0.787701402391706,0,4.18628681342982e-05,1.05819048626082,1.78571437053116e-05,0.108954717006002,3337182.74642857,0,0,0,0,0,93589125,13577936,4072265,0.899999976158142,26105,0.0116853574293478,3261802,0.0145001735959018,0,0.00278588527226424,100,0,0,111239326,0,0
"5","Browser-Monitoring-Service-Production",2017-08-31 00:40:00,2017-08-31 00:50:00,111301298,0.0018928733302603,4294.9632,32381.792256,56.9086761474609,13.9969469479152,0.798450018678393,0,4.18572981288889e-05,1.01106548309326,0,0.109611028007099,3385856.76964286,0,0,0,0,0,93710240,13542732,4048326,0.899999976158142,23656,0.011416042739556,3205575,0.0160040027562272,0,0.00406464262438341,100,0,0,111301298,0,0
"6","Browser-Monitoring-Service-Production",2017-08-31 00:50:00,2017-08-31 01:00:00,112426801,0.00188256221838781,4294.9632,32374.902784,56.9051208496094,14.0636950901576,0.794894154582705,0,4.18625373380824e-05,1.10647456986564,0,0.110227825386184,3440640.96071429,0,0,0,0,0,94783107,13571378,4072316,0.899999976158142,23852,0.010782433032495,3306674,0.0178456551238386,0,0.00305710023715786,100,0,0,112426801,0,0
"7","Browser-Monitoring-Service-Production",2017-08-31 01:00:00,2017-08-31 01:10:00,112930200,0.0016848468179239,4294.9632,32359.68,56.9025955200195,14.3488880566188,0.807445010968617,0,4.51845275425252e-05,1.15800066930907,0,0.110670778900385,3440988.47857143,0,0,0,0,0,95162813,13689926,4077461,0.899999976158142,22440,0.00816120513509229,3294075,0.0114910125654971,0,0.00257415642582764,100,0,0,112930200,0,0
"8","Browser-Monitoring-Service-Production",2017-08-31 01:10:00,2017-08-31 01:20:00,112561517,0.00175038439557845,4294.9632,32378.718208,56.9001884460449,14.0728315625872,0.799249789544514,0,3.28943559517419e-05,0.817224025726318,0,0.110471716948918,3349932.14464286,0,0,0,0,0,94958872,13490368,4112277,0.899999976158142,27071,0.00771122062335382,3295672,0.0139793616062209,0,0.00172261359981494,99.9999484726205,58,0,112561459,58,0
"9","Browser-Monitoring-Service-Production",2017-08-31 01:20:00,2017-08-31 01:30:00,113737431,0.00178181091332516,4294.9632,32430.485504,56.8978424072266,14.0418308121817,0.798643350601196,0,5.38259404753002e-05,0.971714126212256,0,0.109908689345632,3357836.08392857,0,0,0,0,0,96150703,13524978,4061750,0.899999976158142,18704,0.00383639549511401,3296921,0.014496814198266,0,0.00253566479798546,100,0,0,113737431,0,0
"10","Browser-Monitoring-Service-Production",2017-08-31 01:30:00,2017-08-31 01:40:00,114022214,0.00172712821159853,4294.9632,32422.684672,56.8955307006836,14.3240445000785,0.816020825079509,0,4.43266679732395e-05,1.19596526452473,0,0.109876978610243,3470983.30178571,0,0,0,0,0,96314089,13607704,4100421,0.899999976158142,22374,0.00944889470830425,3314598,0.0150731076189935,0,0.00208468149899282,100,0,0,114022214,0,0
"11","Browser-Monitoring-Service-Production",2017-08-31 01:40:00,2017-08-31 01:50:00,114319344,0.00177622275214819,4294.9632,32407.656448,56.8931312561035,14.2654294967651,0.800383584839957,0,3.2905775827073e-05,1.02874409513814,0,0.108658626143421,3429708.05714286,0,0,0,0,0,96656515,13553302,4109527,0.899999976158142,25327,0.00994328102868391,3321528,0.0158343371569081,0,0.00325054349507114,100,0,0,114319344,0,0
