"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","count.services","count.sessions","count.kernel","count.system","apdex_s","apdex_t","apdex_f","apdex_score","db_throughput","db_duration","external_throughput","external_duration","length","error_rate","bg_rate","count.Other","queue_duration"
"1","BST-Cassandra",2017-08-31 00:00:00,2017-08-31 00:10:00,3267364,0.000193942765724602,0,59597.643776,68.2083740234375,7.41213202476501,1.62345175743103,0,0.131918802857399,2.18266661167145,0.666775438189507,5.06295967102051,1046087.39423077,0,0,0,0,0,0,2897506,362071,7787,0.939999997615814,0,0,0,0,0,0,100,3267364,0
"2","BST-Cassandra",2017-08-31 00:10:00,2017-08-31 00:20:00,3258676,0.000203439293844187,0,59603.18976,68.2181701660156,7.50800352096558,1.60839465856552,0,0.122831384837627,2.14596664905548,0.551191973686218,4.55834350585937,1034208.25721154,0,0,0,0,0,0,2898053,352412,8211,0.939999997615814,0,0,0,0,0,0,100,3258676,0
"3","BST-Cassandra",2017-08-31 00:20:00,2017-08-31 00:30:00,3297358,0.000186711585328011,0,59523.203072,68.2627563476562,7.55276899337769,1.67083996534348,0,0.175756353139877,2.28919997215271,0.919445708394051,5.54809970855713,1036806.09855769,0,0,0,0,0,0,2964729,325029,7600,0.949999988079071,0,0,0,0,0,0,100,3297358,0
"4","BST-Cassandra",2017-08-31 00:30:00,2017-08-31 00:40:00,3279582,0.000194440506849348,0,59538.436096,68.2434692382812,7.31384706497192,1.63780400753021,0,0.140264409035444,2.02381665706635,0.580847281217575,5.26434321403503,1032600.70913462,0,0,0,0,0,0,2935448,335785,8349,0.949999988079071,0,0,0,0,0,0,100,3279582,0
"5","BST-Cassandra",2017-08-31 00:40:00,2017-08-31 00:50:00,3279363,0.000194653384725021,0,59534.45888,68.2463684082031,7.17888236045837,1.62440251111984,0,0.123174723982811,2.04460000991821,0.587617129087448,5.19129266738892,1049479.09134615,0,0,0,0,0,0,2926748,345122,7493,0.949999988079071,0,0,0,0,0,0,100,3279363,0
"6","BST-Cassandra",2017-08-31 00:50:00,2017-08-31 01:00:00,3333597,0.000189184002594795,0,59527.307264,68.2628326416016,7.77101287841797,1.69995696544647,0,0.193531733751297,2.45869998931885,1.03754817247391,5.76592535972595,1055019.02884615,0,0,0,0,0,0,3018711,306655,8231,0.949999988079071,0,0,0,0,0,0,100,3333597,0
"7","BST-Cassandra",2017-08-31 01:00:00,2017-08-31 01:10:00,3328120,0.000196249105548478,0,59476.549632,68.2373275756836,7.45530858039856,1.63118107318878,0,0.14103679805994,1.9738832950592,0.640698558092117,5.31086530685425,1067899.73557692,0,0,0,0,0,0,2988184,331425,8511,0.949999988079071,0,0,0,0,0,0,100,3328120,0
"8","BST-Cassandra",2017-08-31 01:10:00,2017-08-31 01:20:00,3298452,0.000200373363524465,0,59459.330048,68.2161636352539,7.67881517410278,1.65521146059036,0,0.139350648224354,2.10466663837433,0.651930052042007,5.36110467910767,1054183.96153846,0,0,0,0,0,0,2935795,354262,8395,0.939999997615814,0,0,0,0,0,0,100,3298452,0
"9","BST-Cassandra",2017-08-31 01:20:00,2017-08-31 01:30:00,3325348,0.000199936909570367,0,59652.517888,68.2707214355469,7.34862232208252,1.67315796613693,0,0.152531714737415,2.58211667537689,0.775966650247574,5.3077953338623,1064895.68509615,0,0,0,0,0,0,2957988,359109,8251,0.939999997615814,0,0,0,0,0,0,100,3325348,0
"10","BST-Cassandra",2017-08-31 01:30:00,2017-08-31 01:40:00,3271845,0.000197876415076203,0,59672.915968,68.2402725219727,7.85413961410522,1.68020919561386,0,0.162078953534365,3.06083331108093,0.788866007328033,5.35231556892395,1058347.37019231,0,0,0,0,0,0,2927489,336518,7838,0.949999988079071,0,0,0,0,0,0,100,3271845,0
"11","BST-Cassandra",2017-08-31 01:40:00,2017-08-31 01:50:00,3328712,0.000196222319595988,0,59635.245056,68.2674560546875,7.2332417011261,1.60018080472946,0,0.125490908324718,2.18798332214355,0.531537425518036,4.57453908920288,1044422.29326923,0,0,0,0,0,0,2955873,364360,8479,0.939999997615814,0,0,0,0,0,0,100,3328712,0
"12","BST-Cassandra",2017-08-31 01:50:00,2017-08-31 02:00:00,3327750,0.00019369028241214,0,59600.81408,68.2527618408203,7.42259426116943,1.64736380577087,0,0.157279991358519,1.99278326034546,0.720826345682144,4.96337761878967,1054577.28365385,0,0,0,0,0,0,2975308,344474,7968,0.949999988079071,0,0,0,0,0,0,100,3327750,0
"13","BST-Cassandra",2017-08-31 02:00:00,2017-08-31 02:10:00,3395844,0.000188203345262327,0,59607.83872,68.1903839111328,7.76152544021606,1.6628370642662,0,0.161094596236944,2.13876667022705,0.686817225813866,5.19250249862671,1085074.46875,0,0,0,0,0,0,3042249,345285,8310,0.949999988079071,0,0,0,0,0,0,100,3395844,0
"14","BST-Cassandra",2017-08-31 02:10:00,2017-08-31 02:20:00,3295777,0.000191991008471143,0,59570.212864,68.2397308349609,7.08460807800293,1.63001707792282,0,0.127786320447922,1.86900000572205,0.537898498773575,4.77887229919434,1056964.84855769,0,0,0,0,0,0,2936735,351954,7088,0.939999997615814,0,0,0,0,0,0,100,3295777,0
