"","app_name","begin_time","end_time","rpm","duration","swapFreeMB","minFreeMemMB","minDiskFreePct","cpuUserPct","cpuSystemPct","cpuStealPct","cpuIOWaitPct","loadAverage","diskReadPct","diskWritePct","receiveBytes","transmitBytes","transmitErrors","event_count.kernel","event_count.sessions","event_count.services","apdex_s","apdex_t","apdex_f","apdex_score","cpm.db","duration.db","cpm.external","duration.external","length","error_pct","bg_pct","cpm.Other","cpm.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration.x","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions.x","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions.x","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage.x","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch.x","cpm.OtherTransaction/ProducerEventHandler/big.producer/onEvent.x","cpm.OtherTransaction/ProducerEventHandler/small.producer/onEvent.x","cpm.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration.y","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions.y","cpm.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions.y","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage.y","cpm.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch.y","cpm.OtherTransaction/ProducerEventHandler/big.producer/onEvent.y","cpm.OtherTransaction/ProducerEventHandler/small.producer/onEvent.y","duration.OtherTransaction/Custom/com.newrelic.analytics.messaging.AnalyticEventPartitionService/runOneIteration","duration.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadAllDomainConditions","duration.OtherTransaction/Custom/com.newrelic.bam.common.domaincondition.PersistentCache/loadRecentDomainConditions","duration.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.EventConsumerService$EventConsumerTask/processOneMessage","duration.OtherTransaction/Custom/com.nr.analytics.dirac_browser_consumer.services.TransformerService$TransformerTask/processBatch","duration.OtherTransaction/ProducerEventHandler/big.producer/onEvent","duration.OtherTransaction/ProducerEventHandler/small.producer/onEvent","queue_duration","deploys"
"11","Dirac-Browser",2017-09-27 18:40:00,2017-09-27 18:50:00,7387184,0.000247588415804994,4294.9632,66322.735104,59.102912902832,19.1703870137533,0.987128762404124,0,3.84343094386471e-05,1.65849034786224,0,0.106458534797033,3977146.14666667,0,0,0,0,0,6086094,1204682,96408,0.910000026226044,0,0,40.4,0.0440885058836634,0,0,100,738718.4,12.5,2.3,22.8,240918.9,240715.6,0,257046.3,12.5,2.3,22.8,240918.9,240715.6,0,257046.3,0.003517463288,0.40976125,0.072087501622807,7.72468650276089e-05,0.00024815454196529,0,0.000396516911412847,0,0
"12","Dirac-Browser",2017-09-27 18:50:00,2017-09-27 19:00:00,7306788,0.000245238738041257,4294.9632,66297.044992,59.1016540527344,19.2444738388062,1.00539613167445,0,4.0898322428499e-05,1.79066509803136,0,0.108410859107971,4087247.59,0,0,0,0,0,6020691,1188080,98017,0.910000026226044,0,0,36.7,0.0301731175540541,0,0,100,730678.8,9,0,11,238806.7,237698,0,254154.1,9,0,11,238806.7,237698,0,254154.1,0.00289179142222222,0,0.0738987438181818,7.79171889993036e-05,0.000247513668972814,0,0.000397047238879876,0,0
"13","Dirac-Browser",2017-09-27 19:00:00,2017-09-27 19:10:00,7141904,0.000243613885364883,4294.9632,66291.662848,59.1007614135742,18.9727515538534,0.98232760032018,0,5.80134867050219e-05,1.7439351717631,1.55253130894077e-05,0.105808082719644,4076896.97666667,0,0,0,0,0,5902303,1148856,90745,0.910000026226044,0,0,37.3,0.0357519478364611,0,0,100,714190.4,14,0,18.2,233948,231510.1,0,248700.1,14,0,18.2,233948,231510.1,0,248700.1,0.00276060330714286,0,0.0721935746593407,7.70430725438986e-05,0.000244420260926845,0,0.000394146584358028,0,0
"14","Dirac-Browser",2017-09-27 19:10:00,2017-09-27 19:20:00,7046076,0.000245140000895818,4294.9632,66317.881344,59.0996704101562,18.639966583252,0.971479415893555,0,3.86181100717901e-05,1.57035556236903,7.84792773629306e-06,0.105713581045469,3944392.18,0,0,0,0,0,5801358,1153152,91566,0.910000026226044,0,0,35.6,0.0283278686309524,0,0,100,704607.6,15.7,0,12.5,228753.7,230017.8,2.9,245805,15.7,0,12.5,228753.7,230017.8,2.9,245805,0.0030846587133758,0,0.070736804256,7.70944299445211e-05,0.000247260980451513,0.008926371,0.000395675104964504,0,0
"15","Dirac-Browser",2017-09-27 19:20:00,2017-09-27 19:30:00,6973270,0.000246303406051824,4294.9632,66308.452352,59.0986557006836,18.2482321421305,0.985483551025391,0,5.53703820817949e-05,1.46486666202545,5.86662814991238e-05,0.108240826427937,3970002.01333333,0,0,0,0,0,5737150,1146997,89123,0.899999976158142,0,0,46.9,0.0366037216726058,0,0,100,697327,10.7,0,23.1,227982.6,226701.4,0,242609.2,10.7,0,23.1,227982.6,226701.4,0,242609.2,0.00279149211214953,0,0.0690298181471861,7.69408580290777e-05,0.000248618135352053,0,0.000396630883155709,0,0
"16","Dirac-Browser",2017-09-27 19:30:00,2017-09-27 19:40:00,6813745,0.000247391753180226,4294.9632,66313.527296,59.097713470459,17.9069318135579,0.970571287473043,0,5.20675084165608e-05,1.40205707550049,3.67965355205039e-05,0.105418422818184,3912479.67,0,0,0,0,0,5606241,1121234,86270,0.910000026226044,0,0,52.1,0.0315092942250996,0,0,100,681374.5,23.1,0,20.5,222371.9,221276.6,4.5,237677.9,23.1,0,20.5,222371.9,221276.6,4.5,237677.9,0.00316124281818182,0,0.0744107568243902,7.7034071660583e-05,0.000247299908246963,0.0024270106,0.000400143091126689,0,0
"17","Dirac-Browser",2017-09-27 19:40:00,2017-09-27 19:50:00,6674392,0.000251896979636647,4294.9632,66301.31712,59.0966606140137,17.634348932902,0.956346587340037,0,2.46588538478439e-05,1.47354381879171,2.27920225976656e-05,0.122987812260787,3839881.67,0,0,0,0,0,5480948,1109721,83723,0.899999976158142,0,0,22.1,0.198654450461538,0,0,100,667439.2,11,1.7,4.4,216342.9,217125.3,5.2,233948.7,11,1.7,4.4,216342.9,217125.3,5.2,233948.7,0.00271264587272727,0.4171553,0.0742504156818182,7.68324222463506e-05,0.000266230818110556,0.00409482663461538,0.00039586167922583,0,0
"18","Dirac-Browser",2017-09-27 19:50:00,2017-09-27 20:00:00,6479141,0.000245508598725201,4294.9632,66277.19168,59.0957489013672,17.3040480295817,0.956965402762095,0,3.90821158362087e-05,1.40076605478923,0,0.106625879804293,3827391.4,0,0,0,0,0,5322392,1077793,78956,0.899999976158142,0,0,28.7,0.0382937138919861,0,0,100,647914.1,13.4,0,15.3,211155.8,210245.4,4.4,226479.8,13.4,0,15.3,211155.8,210245.4,4.4,226479.8,0.0029117578358209,0,0.0708393592941176,7.70316839243819e-05,0.000247250742146083,0.00220788959090909,0.000396003927465937,0,0
"19","Dirac-Browser",2017-09-27 20:00:00,2017-09-27 20:10:00,6267033,0.000244301145671804,4294.9632,66292.79744,59.0948066711426,17.0428153355916,0.939820075035095,0,4.41988721528711e-05,1.39238129059474,0,0.105966906746229,3893913.43666667,0,0,0,0,0,5160934,1032137,73962,0.910000026226044,0,0,28.8,0.0357376644007937,0,0.000319130280628808,100,626703.3,10,0,11.6,203876.2,203215.6,0,219589.9,10,0,11.6,203876.2,203215.6,0,219589.9,0.00300147545,0,0.071571624612069,7.59771946681368e-05,0.000245484514541206,0,0.000395591345218974,0,0
"20","Dirac-Browser",2017-09-27 20:10:00,2017-09-27 20:20:00,6114558,0.000244496090017463,4294.9632,66322.305024,59.0938301086426,16.7687180836995,0.93592529296875,0,4.13988321573318e-05,1.37670554717382,4.81217100362604e-05,0.106767110526562,3773641.23,0,0,0,0,0,5026055,1016455,72048,0.910000026226044,0,0,23.7,0.0330505755907173,0,0,100,611455.8,7.6,0,11,199154.9,198908.1,0,213374.2,7.6,0,11,199154.9,198908.1,0,213374.2,0.00287732415789474,0,0.0692829874090909,7.68731516713875e-05,0.000246955323038629,0,0.000395003205022444,0,0
